 ,2,3,4,5,6,7,8,9,10,A
A,v,v,v,v,v,v,v,v,v,v
9,s,s,s,s,s,s,s,s,s,s
8,s,s,s,s,d,s,s,s,s,s
7,s,d,d,d,d,s,s,h,h,s
6,d,d,d,d,d,h,h,h,h,h
5,h,h,d,d,d,h,h,h,h,h
4,h,h,d,d,d,h,h,h,h,h
3,h,h,d,d,d,h,h,h,h,h
2,h,h,d,d,d,h,h,h,h,h
