,2,3,4,5,6,7,8,9,10,A,J,K,Q
20,s,s,s,s,s,s,s,s,s,s,s,s,s
19,s,s,s,s,s,s,s,s,s,s,s,s,s
18,s,s,s,s,s,s,s,s,s,s,s,s,s
17,s,s,s,s,s,s,s,s,s,s,s,s,s
16,s,s,s,s,s,s,s,s,h,h,h,h,h
15,s,s,s,s,s,s,s,s,h,h,h,h,h
14,s,s,s,s,s,s,s,h,h,h,h,h,h
13,s,s,s,s,s,s,h,h,h,h,h,h,h
12,s,s,s,s,s,s,h,h,h,h,h,h,h
11,s,s,s,s,s,h,h,h,h,h,h,h,h
10,s,s,s,s,s,h,h,h,h,h,h,h,h
9,s,s,s,s,h,h,h,h,h,h,h,h,h
8,s,s,s,s,h,h,h,h,h,h,h,h,h
7,s,s,s,h,h,h,h,h,h,h,h,h,h
6,s,s,h,h,h,h,h,h,h,h,h,h,h
5,s,s,h,h,h,h,h,h,h,h,h,h,h
