,wlr,balance,win_by_blackjack,win_by_bust,win_by_comparison,tie,lose_by_blackjack,lose_by_bust,lose_by_comparison
0,0.8574257425742574,-31.5,81,236,116,62,119,73,313
1,0.8192307692307692,-57.5,73,261,92,54,97,88,335
2,0.896551724137931,-8.5,85,248,109,65,105,82,306
3,0.8287401574803149,-43.5,87,238,96,71,110,89,309
4,0.8642714570858283,-22.5,91,243,99,66,113,78,310
5,0.8148148148148148,-51.0,88,232,98,69,117,76,320
6,0.7452830188679245,-92.5,85,221,89,75,106,83,341
7,0.9456066945606695,18.5,89,238,125,70,72,79,327
8,0.9098360655737705,2.0,92,232,120,68,103,62,323
9,0.8795180722891566,-23.5,73,241,124,64,105,73,320
10,0.8963414634146342,-10.5,81,251,109,67,101,73,318
11,0.7509363295880149,-85.5,95,209,97,65,130,73,331
12,0.856858846918489,-32.0,80,255,96,66,108,81,314
13,0.8481262327416174,-34.0,86,243,101,63,105,75,327
14,0.9414225941422594,23.5,103,222,125,72,98,64,316
15,0.8562992125984252,-31.5,83,232,120,57,98,76,334
16,0.9219409282700421,7.5,89,247,101,89,97,82,295
17,0.9602510460251046,24.5,87,261,111,63,100,69,309
18,0.8977955911823647,-8.0,86,245,117,53,94,80,325
19,0.7961165048543689,-65.5,79,231,100,75,100,69,346
20,0.9285714285714286,12.5,93,247,102,82,114,64,298
21,0.7976878612716763,-60.5,89,233,92,67,108,86,325
22,0.7735849056603774,-86.5,67,222,121,60,114,91,325
23,0.7680608365019012,-80.5,83,220,101,70,107,84,335
24,0.8472222222222222,-35.5,83,229,115,69,98,68,338
25,0.9810126582278481,50.5,119,249,97,61,89,74,311
26,0.8461538461538461,-31.5,93,239,97,64,93,81,333
27,0.8411764705882353,-34.5,93,221,115,61,92,91,327
28,0.8038834951456311,-58.0,86,226,102,71,116,68,331
29,0.8882113821138211,-7.0,96,220,121,71,99,69,324
30,0.8630952380952381,-23.0,92,224,119,61,106,92,306
31,0.837573385518591,-38.5,89,231,108,61,113,69,329
32,0.8284600389863548,-43.0,90,217,118,62,109,80,324
33,0.854,-29.0,88,237,102,73,102,76,322
34,0.8714859437751004,-22.0,84,243,107,68,103,70,325
35,0.8500986193293886,-33.5,85,245,101,62,95,83,329
36,0.9107505070993914,5.5,99,232,118,58,108,77,308
37,0.896551724137931,-4.5,93,252,97,65,98,81,314
38,0.8792756539235412,-7.5,105,239,93,66,128,63,306
39,0.8574257425742574,-30.0,84,231,118,62,102,104,299
40,0.7837837837837838,-71.0,82,226,98,76,107,79,332
41,0.886,-8.5,97,251,95,57,107,73,320
42,0.8637274549098196,-27.0,82,238,111,70,87,80,332
43,0.9175257731958762,4.0,88,248,109,70,109,77,299
44,0.7400379506641366,-98.5,77,215,98,83,116,89,322
45,0.8669354838709677,-21.0,90,228,112,74,110,84,302
46,0.8773006134969326,-14.0,92,239,98,82,100,76,313
47,0.8169556840077071,-41.0,108,211,105,57,117,78,324
48,0.8663967611336032,-25.0,82,247,99,78,100,71,323
49,0.758095238095238,-84.0,86,221,91,77,111,92,322
50,0.8913934426229508,-10.5,85,241,109,77,110,74,304
51,0.8548387096774194,-34.5,75,228,121,80,97,75,324
52,0.7923076923076923,-74.0,68,234,110,68,116,78,326
53,0.8290766208251473,-36.5,101,214,107,69,119,78,312
54,0.852882703777336,-30.0,88,233,108,68,99,67,337
55,0.8549019607843137,-33.0,82,246,108,54,113,82,315
56,0.8429423459244533,-37.0,84,215,125,73,91,83,329
57,0.87374749498998,-15.5,95,231,110,65,111,78,310
58,0.8770491803278688,-16.5,87,232,109,84,91,87,310
59,0.8732106339468303,-17.5,89,232,106,84,99,76,314
60,0.8495049504950495,-32.5,87,234,108,66,101,94,310
61,0.8629032258064516,-15.0,106,210,112,76,104,82,310
62,0.814595660749507,-52.0,84,219,110,80,106,91,310
63,0.8258317025440313,-45.5,87,230,105,67,108,72,331
64,0.8241106719367589,-45.5,87,242,88,77,97,71,338
65,0.8943089430894309,-6.5,91,232,117,68,100,77,315
66,0.9260780287474333,8.5,89,247,115,62,95,64,328
67,0.9355509355509356,14.5,91,255,104,69,114,80,287
68,0.8489065606361829,-29.5,93,237,97,70,106,83,314
69,0.8602794411177644,-21.0,98,229,104,68,98,80,323
70,0.775047258979206,-81.0,76,232,102,61,103,76,350
71,0.8782435129740519,-18.0,86,236,118,59,117,89,295
72,0.8511904761904762,-36.5,77,249,103,67,96,81,327
73,0.9134020618556701,4.0,92,232,119,72,99,75,311
74,0.7942307692307692,-61.0,92,213,108,67,101,83,336
75,0.8073217726396917,-57.5,85,229,105,62,112,87,320
76,0.9536842105263158,25.5,95,252,106,72,83,87,305
77,0.8651911468812877,-20.5,93,239,98,73,99,65,333
78,0.7941747572815534,-59.0,94,215,100,76,91,92,332
79,0.762906309751434,-82.5,83,225,91,78,96,82,345
80,0.879837067209776,-9.5,99,236,97,77,99,74,318
81,0.9190871369294605,12.0,102,233,108,75,96,75,311
82,0.8542914171656687,-30.0,86,246,96,71,101,93,307
83,0.8574257425742574,-22.5,99,215,119,62,83,82,340
84,0.902834008097166,-7.0,82,244,120,60,120,83,291
85,0.7756653992395437,-84.0,68,225,115,66,110,78,338
86,0.7861271676300579,-73.5,75,232,101,73,99,75,345
87,0.779245283018868,-66.0,102,215,96,57,105,75,350
88,0.9053497942386831,4.5,101,224,115,74,114,73,299
89,0.830078125,-52.0,70,246,109,63,99,82,331
90,0.7832699619771863,-58.5,111,211,90,62,118,79,329
