,wlr,balance,win_by_blackjack,win_by_bust,win_by_comparison,tie,lose_by_blackjack,lose_by_bust,lose_by_comparison
0,0.776937618147448,-81.5,73,235,103,60,131,51,347
1,0.8695652173913043,-22.5,87,255,98,54,114,33,359
2,0.8336594911937377,-54.0,62,273,91,63,122,38,351
3,0.8835341365461847,-10.5,95,252,93,62,109,32,357
4,0.7953667953667953,-70.5,71,237,104,70,113,42,363
5,0.8277886497064579,-41.5,93,232,98,66,121,38,352
6,0.8042226487523992,-62.0,80,246,93,60,113,40,368
7,0.844488188976378,-33.0,92,226,111,63,118,31,359
8,0.9056224899598394,3.5,101,232,118,51,101,26,371
9,0.8784860557768924,-21.0,80,251,110,57,102,33,367
10,0.859375,-28.5,87,253,100,48,102,45,365
11,0.9103869653767821,3.0,94,252,101,62,104,27,360
12,0.882,-13.0,92,241,108,59,118,35,347
13,0.96,26.0,90,277,89,69,94,41,340
14,0.7361623616236163,-100.0,86,230,83,59,131,33,378
15,0.8591269841269841,-37.5,67,261,105,63,101,36,367
16,0.7844990548204159,-75.0,78,251,86,56,132,37,360
17,0.816247582205029,-61.5,67,262,93,61,113,25,379
18,0.8057692307692308,-66.0,70,252,97,61,108,37,375
19,0.829126213592233,-46.5,83,255,89,58,107,42,366
20,0.7784090909090909,-78.0,78,250,83,61,121,32,375
21,0.8346456692913385,-45.5,77,240,107,68,97,36,375
22,0.8273809523809523,-49.5,75,259,83,79,111,20,373
23,0.9139344262295082,-7.0,70,278,98,66,106,26,356
24,0.9040816326530612,-1.5,91,253,99,67,110,29,351
25,0.8514851485148515,-32.5,85,262,83,65,110,29,366
26,0.8511066398390342,-35.0,78,248,97,80,113,28,356
27,0.9127789046653144,-3.0,80,275,95,57,112,44,337
28,0.7958015267175572,-68.5,77,254,86,59,105,40,379
29,0.8284023668639053,-48.0,78,248,94,73,101,39,367
30,0.9117043121149897,-2.5,81,268,95,69,97,23,367
31,0.9393305439330544,13.0,84,274,91,73,106,31,341
32,0.7602230483271375,-90.5,77,251,81,53,116,32,390
33,0.7850287907869482,-72.0,80,230,99,70,111,33,377
34,0.785171102661597,-72.0,82,239,92,61,130,35,361
35,0.7700934579439253,-88.0,70,258,84,53,98,30,407
36,0.849802371541502,-38.0,76,261,93,64,98,35,373
37,0.8265895953757225,-57.0,66,255,108,52,114,38,367
38,0.8509803921568627,-39.0,74,259,101,56,105,36,369
39,1.0195227765726682,45.5,73,287,110,69,106,31,324
40,0.8038461538461539,-69.0,66,258,94,62,98,33,389
41,0.8642714570858283,-32.0,72,273,88,66,113,27,361
42,0.9142857142857143,-3.0,78,267,103,62,85,36,369
43,0.9443298969072165,16.0,86,261,111,57,105,32,348
44,0.7815442561205274,-79.0,74,259,82,54,119,35,377
45,0.8392156862745098,-40.0,84,237,107,62,105,33,372
46,0.8375241779497099,-43.0,82,252,99,50,104,32,381
47,0.8755020080321285,-25.5,73,243,120,66,110,33,355
48,0.8255813953488372,-49.0,82,239,105,58,111,31,374
49,0.7817836812144212,-70.0,90,219,103,61,103,45,379
50,0.814453125,-58.5,73,265,79,71,130,37,345
51,0.8523622047244095,-30.0,90,252,91,59,113,39,356
52,0.8673267326732673,-27.0,80,245,113,57,119,29,357
53,0.7317518248175182,-110.0,74,236,91,51,116,31,401
54,0.7093862815884476,-126.5,69,248,76,53,101,40,413
55,0.919917864476386,5.5,89,260,99,65,114,37,336
56,0.8406909788867563,-50.5,65,275,98,41,115,34,372
57,0.8546511627906976,-33.5,83,247,111,43,125,34,357
58,0.9381443298969072,11.5,83,266,106,60,119,28,338
59,0.9282786885245902,0.5,71,276,106,59,98,38,352
60,0.7721280602636534,-87.5,67,254,89,59,104,36,391
61,0.918200408997955,3.0,86,280,83,62,113,30,346
62,0.8450980392156863,-39.0,80,242,109,59,103,34,373
63,0.8517786561264822,-38.5,73,268,90,63,107,38,361
64,0.82421875,-48.5,83,241,98,66,102,32,378
65,0.8882235528942116,-9.5,93,257,95,54,99,33,369
66,0.8123791102514507,-50.5,93,243,84,63,101,36,380
67,0.8693069306930693,-19.5,93,250,96,56,111,30,364
68,0.83203125,-47.5,77,258,91,62,103,22,387
69,0.8455445544554455,-38.0,80,244,103,68,105,34,366
70,0.8803245436105477,-15.0,88,248,98,73,98,26,369
71,0.7992351816443595,-65.5,79,249,90,59,113,31,379
72,0.8134615384615385,-58.5,77,251,95,57,115,33,372
73,0.8594377510040161,-21.5,97,235,96,74,95,45,358
74,0.7662835249042146,-88.0,68,241,91,78,109,42,371
75,0.8468992248062015,-33.0,92,265,80,47,117,29,370
76,0.725925925925926,-112.0,72,228,92,68,119,37,384
77,0.753731343283582,-83.0,98,228,78,60,112,35,389
78,0.758364312267658,-87.0,86,227,95,54,120,25,393
79,0.8115384615384615,-66.0,64,236,122,58,98,39,383
80,0.8285163776493256,-49.5,79,250,101,51,101,25,393
81,0.7858508604206501,-72.5,79,235,97,66,126,28,369
82,0.737037037037037,-104.0,76,234,88,62,127,22,391
83,0.8611111111111112,-24.5,91,256,87,62,106,35,363
84,0.8,-63.0,84,241,95,55,110,36,379
85,0.9040816326530612,-5.0,84,261,98,67,97,33,360
86,0.7757009345794392,-85.5,69,228,118,50,124,32,379
87,0.7836812144212524,-68.0,92,240,81,60,95,33,399
88,0.9038076152304609,-10.0,76,267,108,50,104,34,361
89,0.8088803088803089,-53.5,91,237,91,63,102,36,380
90,0.869653767820774,-29.0,70,254,103,82,102,28,361
91,0.7908745247148289,-75.5,69,261,86,58,117,35,374
92,0.8501945525291829,-45.0,64,284,89,49,118,41,355
93,0.8499025341130604,-36.0,82,249,105,51,105,46,362
94,0.7601476014760148,-89.5,81,238,93,46,130,42,370
95,0.8511904761904762,-34.5,81,237,111,67,107,27,370
96,0.8095238095238095,-56.0,88,239,98,50,108,36,381
97,0.7958015267175572,-65.5,83,235,99,59,112,30,382
98,0.8627450980392157,-34.5,71,262,107,50,109,41,360
99,0.7385740402193784,-109.0,68,241,95,49,114,43,390
100,0.8438735177865613,-34.5,89,243,95,67,113,41,352
101,0.8210116731517509,-56.0,72,257,93,64,99,32,383
102,0.7844990548204159,-79.5,69,249,97,56,122,30,377
103,0.9426229508196722,10.5,77,281,102,52,112,37,339
104,0.858,-25.5,91,235,103,71,95,28,377
105,0.9320987654320988,8.0,82,253,118,61,111,33,342
106,0.8428290766208252,-41.5,77,267,85,62,119,31,359
107,0.8975903614457831,-9.0,84,268,95,55,101,33,364
108,0.8372093023255814,-41.5,85,249,98,52,98,40,378
109,0.8385826771653543,-43.0,78,253,95,66,110,39,359
110,0.7664783427495292,-88.5,71,242,94,62,134,27,370
111,0.854043392504931,-35.0,78,232,123,60,88,33,386
112,0.8084291187739464,-59.5,81,248,93,56,107,30,385
